model,set,clip,peak
55e182a-dirty-c574e978-hbd0e5de/stream_state_internal_quant.tflite#cbf0ec81,pos/ryan,hey_seeree_0029.wav,0.191406
55e182a-dirty-c574e978-hbd0e5de/stream_state_internal_quant.tflite#cbf0ec81,pos/ryan,hey_seeree_0031.wav,0.884375
55e182a-dirty-c574e978-hbd0e5de/stream_state_internal_quant.tflite#cbf0ec81,pos/ryan,hey_seeree_0035.wav,0.226562
55e182a-dirty-c574e978-hbd0e5de/stream_state_internal_quant.tflite#cbf0ec81,pos/ryan,hey_seeree_0036.wav,0.191406
55e182a-dirty-c574e978-hbd0e5de/stream_state_internal_quant.tflite#cbf0ec81,pos/ryan,hey_seeree_0038.wav,0.191406
55e182a-dirty-c574e978-hbd0e5de/stream_state_internal_quant.tflite#cbf0ec81,neg/command,command_044_am_eric.wav,0.191406
55e182a-dirty-c574e978-hbd0e5de/stream_state_internal_quant.tflite#cbf0ec81,neg/command,command_045_am_liam.wav,0.191406
55e182a-dirty-c574e978-hbd0e5de/stream_state_internal_quant.tflite#cbf0ec81,neg/command,command_046_am_onyx.wav,0.191406
55e182a-dirty-c574e978-hbd0e5de/stream_state_internal_quant.tflite#cbf0ec81,neg/command,command_047_am_puck.wav,0.191406
55e182a-dirty-c574e978-hbd0e5de/stream_state_internal_quant.tflite#cbf0ec81,neg/command,command_048_bf_emma.wav,0.191406
55e182a-dirty-c574e978-hbd0e5de/stream_state_internal_quant.tflite#cbf0ec81,neg/command,command_049_bf_lily.wav,0.191406
55e182a-dirty-c574e978-hbd0e5de/stream_state_internal_quant.tflite#cbf0ec81,neg/command,command_050_bf_alice.wav,0.187500
55e182a-dirty-c574e978-hbd0e5de/stream_state_internal_quant.tflite#cbf0ec81,neg/command,command_051_bm_george.wav,0.191406
55e182a-dirty-c574e978-hbd0e5de/stream_state_internal_quant.tflite#cbf0ec81,neg/command,command_052_bm_lewis.wav,0.194531
55e182a-dirty-c574e978-hbd0e5de/stream_state_internal_quant.tflite#cbf0ec81,neg/command,command_053_bm_daniel.wav,0.194531
55e182a-dirty-c574e978-hbd0e5de/stream_state_internal_quant.tflite#cbf0ec81,neg/command,command_054_af_bella.wav,0.191406
55e182a-dirty-c574e978-hbd0e5de/stream_state_internal_quant.tflite#cbf0ec81,neg/command,command_055_af_nicole.wav,0.191406
55e182a-dirty-c574e978-hbd0e5de/stream_state_internal_quant.tflite#cbf0ec81,neg/extend,extend_000_af_bella.wav,0.721094
